130803101,广播,隆化县人民广播电台,县级,中国,,,,,,新闻综合,,,130803,
130912101,广播,任丘市人民广播电台(FM92.8 AM1287),县级,中国,,,,,,新闻综合,,,130912,
371400103,广播,德州新闻广播(FM104.1 AM1098),地级,中国,,,,,,新闻综合,新闻,,371400,
370700106,广播,潍坊故事广播(FM107.1 AM981),地级,中国,,,,,,其他,故事,,370700,
150705101,广播,鄂伦春人民广播 电台FM98.5,县级,中国,,,,,,新闻综合,,,150705,
140200102,广播,大同综艺评书广播(FM98.7 AM900),地级,中国,,,,,,综艺文化,综艺评书,,140200,
220203101,广播,桦甸市人民广播电台(FM89.1),县级,中国,,,,,,新闻综合,,,220203,
220300101,广播,四平新闻综合广播(FM93.9),地级,中国,,,,,,新闻综合,新闻综合,,220300,
430000101,广播,湖南新闻综合广播(FM102.8),省级,中国,,,,,,新闻综合,新闻综合,,430000,
430000102,广播,湖南经广广播(FM90.1),省级,中国,,,,,,经济生活,经广,,430000,
430000103,广播,湖南文艺广播摩登音乐台(FM97.5),省级,中国,,,,,,交通音乐,文艺,,430000,
430100104,广播,长沙城市之声广播(FM101.7),地级,中国,,,,,,其他,城市,,430100,
410712101,广播,新乡县人民广播,县级,中国,,,,,,新闻综合,,,410712,
410805101,广播,沁阳市人民广播电台(FM104.9),县级,中国,,,,,,新闻综合,,,410805,
440100101,广播,广州交通广播(FM106.1),地级,中国,,,,,,交通音乐,交通,,440100,
450000101,广播,广西新闻综合广播(FM91),省级,中国,,,,,,新闻综合,新闻综合,,450000,
450000103,广播,广西文艺广播(FM95),省级,中国,,,,,,综艺文化,文艺,,450000,
450000104,广播,广西私家车930教育广播(FM93),省级,中国,,,,,,交通音乐,私家车教育,,450000,
450100102,广播,南宁乡村生活广播(FM104.9),地级,中国,,,,,,经济生活,乡村生活,,450100,
450100103,广播,南宁交通音乐广播(FM107.4),地级,中国,,,,,,交通音乐,交通音乐,,450100,
460000101,广播,海南新闻广播(FM88.6),省级,中国,,,,,,新闻综合,新闻,,460000,
460000102,广播,海南人民广播电台经济广播,省级,中国,,,,,,经济生活,经济,,460000,
460000103,广播,海南交通广播(FM100),省级,中国,,,,,,交通音乐,交通,,460000,
